Métrica,Regresión Logística,Random Forest
Accuracy,0.6276978417266187,0.6753597122302158
Precision,0.6170454545454546,0.6801385681293303
Recall,0.5251450676982592,0.5696324951644101
F1-score,0.567398119122257,0.62
AUC-ROC,0.6737423402629912,0.7376631503665296
