depto_nombre,tasa_asistencia,n_estudiantes,ingreso_pc_prom,tasa_no_asistencia,cluster,cluster_label
Chuquisaca,0.24242424242424243,792,1726.5200717492385,0.7575757575757576,2,Riesgo alto
Oruro,0.3146496815286624,785,1270.237069052674,0.6853503184713376,0,Riesgo medio
Tarija,0.33550065019505854,769,1932.7266896158312,0.6644993498049414,2,Riesgo alto
Cochabamba,0.36199883788495063,1721,1288.4743714852516,0.6380011621150494,1,Riesgo bajo
Beni,0.38413878562577447,807,866.617793709801,0.6158612143742255,0,Riesgo medio
Potosí,0.4221954161640531,829,987.8622216478067,0.5778045838359469,0,Riesgo medio
Santa Cruz,0.4451162790697674,2150,1006.6708886204235,0.5548837209302326,1,Riesgo bajo
Pando,0.5290148448043185,741,1293.4281712439606,0.4709851551956815,0,Riesgo medio
La Paz,0.7296868806975823,2523,849.2046143731637,0.27031311930241775,1,Riesgo bajo
