edad,sexo_bin,indigena_bin,idioma_originario,lee_escribe_bin,hacinamiento,indice_servicios,piso_adecuado,pared_adecuada,internet_bin,log_alquiler,log_ingreso_pc,jefe_anios_estudio,jefe_edad,jefe_sexo,trabajo_bin,area_nombre_Urbana,depto_nombre_Chuquisaca,depto_nombre_Cochabamba,depto_nombre_La Paz,depto_nombre_Oruro,depto_nombre_Pando,depto_nombre_Potosí,depto_nombre_Santa Cruz,depto_nombre_Tarija,asistencia_real,pred_lr,proba_lr,pred_rf,proba_rf
9.0,1,0,1,1,2.0,3,1,1,0,6.2166061010848646,5.707110264748875,16.0,26.0,1.0,0,True,False,False,False,False,True,False,False,False,1,1,0.6673788625764632,1,0.5876628331770055
14.0,1,1,1,1,2.5,3,1,1,1,6.2166061010848646,6.774223886357614,17.0,46.0,1.0,0,True,False,False,False,False,False,False,True,False,1,1,0.557518849605957,1,0.5793226379003855
12.0,1,0,1,1,1.3333333333333333,2,0,1,1,3.9318256327243257,6.731614581263264,8.0,38.0,1.0,0,False,False,False,False,False,False,True,False,False,1,0,0.3597325580555038,0,0.3884140051728201
6.0,0,0,1,1,2.5,3,1,1,1,6.2166061010848646,6.329720905522696,8.0,32.0,1.0,0,True,False,False,False,False,False,False,False,False,1,0,0.45177910584257935,0,0.4240746903516605
14.0,0,0,1,1,1.25,3,1,1,1,6.90875477931522,8.294299608857235,9.0,34.0,1.0,1,True,False,False,False,False,False,False,True,False,0,0,0.3252027570878606,0,0.34032497125861416
8.0,1,0,1,1,1.0,3,1,1,1,6.2166061010848646,0.0,17.0,35.0,2.0,0,True,True,False,False,False,False,False,False,False,0,0,0.29576423358385645,0,0.23079882934937643
7.0,0,0,1,1,1.3333333333333333,3,1,1,1,7.313886831633462,6.621405651764134,12.0,51.0,1.0,0,True,False,False,False,False,False,False,True,False,1,0,0.49594048002492086,0,0.49093143691559604
14.0,0,0,1,1,2.0,2,0,1,0,6.398594934535208,8.207310953201803,10.0,60.0,1.0,1,False,False,False,True,False,False,False,False,False,0,1,0.582783848337406,1,0.5748732320429967
11.0,0,0,1,1,1.0,3,1,1,1,7.601402334583733,8.002526868264308,12.0,45.0,1.0,0,True,False,False,False,False,False,False,False,True,0,0,0.3813413664730671,0,0.34519291725873447
15.0,1,0,1,1,1.0,3,1,1,1,6.2166061010848646,4.454347296253507,17.0,51.0,1.0,1,True,False,False,False,False,False,False,True,False,1,0,0.3386794351981073,0,0.39886616044433265
7.0,0,0,1,1,3.0,3,1,1,1,6.2166061010848646,0.0,12.0,31.0,2.0,0,True,False,False,False,True,False,False,False,False,1,0,0.37652481188149817,0,0.4508651411436711
6.0,0,0,1,0,2.5,3,0,1,1,5.993961427306569,6.398594934535208,10.0,39.0,2.0,0,True,False,False,True,False,False,False,False,False,1,1,0.6697927482847701,1,0.7667553063831295
14.0,1,0,1,1,2.0,2,0,1,0,6.2166061010848646,9.952325334619427,9.0,37.0,1.0,0,False,True,False,False,False,False,False,False,False,0,0,0.23072819688732615,0,0.20905418573029957
12.0,0,1,1,1,3.0,1,0,0,0,5.707110264748875,8.517393171418904,4.0,64.0,1.0,0,False,False,False,False,False,False,False,False,False,0,0,0.45171530896506334,0,0.4421113465503233
9.0,1,0,1,1,2.5,3,1,1,1,7.313886831633462,0.0,17.0,47.0,1.0,0,True,False,False,False,False,False,False,False,True,0,0,0.39784256998104545,0,0.3292073258156323
13.0,0,0,1,1,1.0,3,1,1,1,7.313886831633462,0.0,15.0,41.0,1.0,0,True,False,False,True,False,False,False,False,False,0,1,0.7567145546035685,1,0.8456343668041835
7.0,1,0,1,1,2.0,3,0,1,1,6.2166061010848646,0.0,17.0,37.0,2.0,0,True,False,False,False,False,False,False,False,False,0,0,0.41151028554776653,0,0.43774200065360647
12.0,0,0,1,1,4.5,2,1,1,0,6.398594934535208,5.135144628592843,5.0,54.0,1.0,0,False,False,False,False,False,True,False,False,False,1,1,0.6057458550558014,1,0.6543417410328256
17.0,1,0,1,1,1.0,3,1,1,1,6.90875477931522,4.948759890378168,12.0,55.0,1.0,0,True,False,False,False,False,False,False,False,True,1,0,0.3779222559184771,0,0.27257994104581734
5.0,0,1,1,0,1.5,2,0,1,0,4.61512051684126,7.797428212952,2.0,49.0,1.0,0,False,True,False,False,False,False,False,False,False,0,0,0.264787068211853,0,0.21726909907774342
8.0,0,0,1,1,1.0,3,1,1,1,6.2166061010848646,4.151039905898646,12.0,35.0,1.0,0,True,True,False,False,False,False,False,False,False,0,0,0.2945928898084599,0,0.2876752319876054
